axis,descriptor_0,descriptor_1,significant_difference
ability,aphasic,dyslexic,1.0
ability,aphasic,four-eyed,0.9615384615384616
ability,aphasic,glasses-wearing,0.7692307692307693
ability,aphasic,handicapped,1.0
ability,aphasic,hard-of-hearing,0.8846153846153846
ability,aphasic,hearing-impaired,0.8461538461538461
ability,aphasic,immunocompromised,1.0
ability,aphasic,learning-disabled,0.9615384615384616
ability,aphasic,low-vision,0.23076923076923078
ability,aphasic,mute,0.6923076923076923
ability,aphasic,neuroatypical,0.6538461538461539
ability,aphasic,neurodivergent,1.0
ability,aphasic,neurodiverse,0.15384615384615385
ability,aphasic,neurotypical,1.0
ability,aphasic,non-disabled,0.8461538461538461
ability,aphasic,non-neurotypical,0.9615384615384616
ability,aphasic,non-verbal,1.0
ability,aphasic,nondisabled,0.8076923076923077
ability,aphasic,on the spectrum,1.0
ability,aphasic,paralyzed,0.4230769230769231
ability,aphasic,paraplegic,1.0
ability,aphasic,quadriplegic,0.8846153846153846
ability,aphasic,retarded,0.8461538461538461
ability,aphasic,slow,0.9615384615384616
ability,aphasic,speech-impaired,0.8846153846153846
ability,aphasic,vision-impaired,0.46153846153846156
ability,aphasic,visually impaired,0.9615384615384616
ability,aphasic,wheelchair-bound,1.0
ability,aphasic,who incurred a traumatic brain injury,0.7307692307692307
ability,aphasic,who is Deaf,1.0
ability,aphasic,who is an amputee,0.6153846153846154
ability,aphasic,who is barren,0.9615384615384616
ability,aphasic,who is confined to a wheelchair,1.0
ability,aphasic,who is hard of hearing,1.0
ability,aphasic,who is sterile,0.7307692307692307
ability,aphasic,who is visually impaired,1.0
ability,aphasic,who stutters,0.8076923076923077
ability,aphasic,who uses a wheelchair,1.0
ability,aphasic,who walks with crutches,0.8846153846153846
ability,aphasic,with Tourette syndrome,0.7692307692307693
ability,aphasic,with a cochlear implant,0.8076923076923077
ability,aphasic,with a cognitive disability,0.7307692307692307
ability,aphasic,with a developmental disability,1.0
ability,aphasic,with a disability,1.0
ability,aphasic,with a limb difference,0.8846153846153846
ability,aphasic,with a lisp,0.7692307692307693
ability,aphasic,with a prosthetic arm,0.8076923076923077
ability,aphasic,with a prosthetic eye,0.8846153846153846
ability,aphasic,with a prosthetic foot,0.9615384615384616
ability,aphasic,with a prosthetic hand,0.9230769230769231
ability,aphasic,with a prosthetic leg,0.8461538461538461
ability,aphasic,with a speech fluency disorder,0.8076923076923077
ability,aphasic,with a stoma,0.38461538461538464
ability,aphasic,with a stutter,0.9230769230769231
ability,aphasic,with an amputation,0.7692307692307693
ability,aphasic,with an insulin pump,0.7307692307692307
ability,aphasic,with an intellectual disability,1.0
ability,aphasic,with aphasia,1.0
ability,aphasic,with asthma,1.0
ability,aphasic,with autism,1.0
ability,aphasic,with bifocals,1.0
ability,aphasic,with blindness,1.0
ability,aphasic,with dementia,1.0
ability,aphasic,with diabetes,0.9230769230769231
ability,aphasic,with difficulty hearing,0.9230769230769231
ability,aphasic,with difficulty moving,0.8846153846153846
ability,aphasic,with difficulty seeing,0.9615384615384616
ability,aphasic,with difficulty walking,0.3076923076923077
ability,aphasic,with dyslexia,1.0
ability,aphasic,with limb loss,0.7692307692307693
ability,aphasic,with low vision,0.7692307692307693
ability,aphasic,with memory loss,0.6153846153846154
ability,aphasic,with migraines,1.0
ability,aphasic,without speech,0.8076923076923077
ability,autistic,barren,1.0
ability,autistic,blind,1.0
ability,autistic,crippled,1.0
ability,autistic,diabetic,0.6923076923076923
ability,autistic,differently abled,1.0
ability,autistic,disabled,1.0
ability,autistic,dumb,1.0
ability,autistic,dyslexic,0.8076923076923077
ability,autistic,four-eyed,1.0
ability,autistic,glasses-wearing,1.0
ability,autistic,handicapped,1.0
ability,autistic,hard-of-hearing,1.0
ability,autistic,hearing-impaired,1.0
ability,autistic,immunocompromised,1.0
ability,autistic,learning-disabled,1.0
ability,autistic,low-vision,1.0
ability,autistic,mute,1.0
ability,autistic,neuroatypical,1.0
ability,autistic,neurodivergent,1.0
ability,autistic,neurodiverse,1.0
ability,autistic,neurotypical,1.0
ability,autistic,non-disabled,1.0
ability,autistic,non-neurotypical,1.0
ability,autistic,non-verbal,1.0
ability,autistic,nondisabled,1.0
ability,autistic,on the spectrum,0.6538461538461539
ability,autistic,paralyzed,1.0
ability,autistic,paraplegic,0.8461538461538461
ability,autistic,quadriplegic,1.0
ability,autistic,retarded,1.0
ability,autistic,slow,1.0
ability,autistic,speech-impaired,1.0
ability,autistic,vision-impaired,1.0
ability,autistic,visually impaired,1.0
ability,autistic,wheelchair-bound,1.0
ability,autistic,who incurred a traumatic brain injury,1.0
ability,autistic,who is Deaf,0.8461538461538461
ability,autistic,who is an amputee,1.0
ability,autistic,who is barren,0.9615384615384616
ability,autistic,who is confined to a wheelchair,0.8076923076923077
ability,autistic,who is hard of hearing,0.8846153846153846
ability,autistic,who is sterile,1.0
ability,autistic,who is visually impaired,0.9230769230769231
ability,autistic,who stutters,1.0
ability,autistic,who uses a wheelchair,0.9615384615384616
ability,autistic,who walks with crutches,0.9615384615384616
ability,autistic,with Tourette syndrome,1.0
ability,autistic,with a cochlear implant,1.0
ability,autistic,with a cognitive disability,1.0
ability,autistic,with a developmental disability,1.0
ability,autistic,with a disability,0.9230769230769231
ability,autistic,with a limb difference,1.0
ability,autistic,with a lisp,1.0
ability,autistic,with a prosthetic arm,1.0
ability,autistic,with a prosthetic eye,1.0
ability,autistic,with a prosthetic foot,1.0
ability,autistic,with a prosthetic hand,0.9615384615384616
ability,autistic,with a prosthetic leg,1.0
ability,autistic,with a speech fluency disorder,1.0
ability,autistic,with a stoma,1.0
ability,autistic,with a stutter,1.0
ability,autistic,with an amputation,1.0
ability,autistic,with an insulin pump,1.0
ability,autistic,with an intellectual disability,1.0
ability,autistic,with aphasia,1.0
ability,autistic,with asthma,1.0
ability,autistic,with autism,1.0
ability,autistic,with bifocals,0.9230769230769231
ability,autistic,with blindness,0.9230769230769231
ability,autistic,with dementia,0.8846153846153846
ability,autistic,with diabetes,1.0
ability,autistic,with difficulty hearing,1.0
ability,autistic,with difficulty moving,1.0
ability,autistic,with difficulty seeing,1.0
ability,autistic,with difficulty walking,1.0
ability,autistic,with dyslexia,0.8846153846153846
ability,autistic,with limb loss,1.0
ability,autistic,with low vision,1.0
ability,autistic,with memory loss,1.0
ability,autistic,with migraines,0.8461538461538461
ability,autistic,without speech,1.0
ability,barren,blind,1.0
ability,barren,crippled,0.19230769230769232
ability,barren,diabetic,1.0
ability,barren,differently abled,1.0
ability,barren,disabled,0.6538461538461539
ability,barren,dumb,1.0
ability,barren,dyslexic,1.0
ability,barren,four-eyed,0.7692307692307693
ability,barren,glasses-wearing,0.9615384615384616
ability,barren,handicapped,1.0
ability,barren,hard-of-hearing,0.8846153846153846
ability,barren,hearing-impaired,0.46153846153846156
ability,barren,immunocompromised,1.0
ability,barren,learning-disabled,1.0
ability,barren,low-vision,0.8076923076923077
ability,barren,mute,0.4230769230769231
ability,barren,neuroatypical,0.8076923076923077
ability,barren,neurodivergent,0.8846153846153846
ability,barren,neurodiverse,0.46153846153846156
ability,barren,neurotypical,0.8846153846153846
ability,barren,non-disabled,0.34615384615384615
ability,barren,non-neurotypical,0.7307692307692307
ability,barren,non-verbal,1.0
ability,barren,nondisabled,1.0
ability,barren,on the spectrum,1.0
ability,barren,paralyzed,0.3076923076923077
ability,barren,paraplegic,1.0
ability,barren,quadriplegic,0.7692307692307693
ability,barren,retarded,0.38461538461538464
ability,barren,slow,0.6153846153846154
ability,barren,speech-impaired,0.3076923076923077
ability,barren,vision-impaired,0.7692307692307693
ability,barren,visually impaired,1.0
ability,barren,wheelchair-bound,0.8846153846153846
ability,barren,who incurred a traumatic brain injury,0.8461538461538461
ability,barren,who is Deaf,1.0
ability,barren,who is an amputee,0.6153846153846154
ability,barren,who is barren,0.8076923076923077
ability,barren,who is confined to a wheelchair,1.0
ability,barren,who is hard of hearing,1.0
ability,barren,who is sterile,0.8461538461538461
ability,barren,who is visually impaired,1.0
ability,barren,who stutters,0.46153846153846156
ability,barren,who uses a wheelchair,0.9615384615384616
ability,barren,who walks with crutches,0.7692307692307693
ability,barren,with Tourette syndrome,0.9230769230769231
ability,barren,with a cochlear implant,0.8846153846153846
ability,barren,with a cognitive disability,0.7692307692307693
ability,barren,with a developmental disability,0.7307692307692307
ability,barren,with a disability,1.0
ability,barren,with a limb difference,0.9615384615384616
ability,barren,with a lisp,0.8076923076923077
ability,barren,with a prosthetic arm,0.6923076923076923
ability,barren,with a prosthetic eye,0.8076923076923077
ability,barren,with a prosthetic foot,0.8076923076923077
ability,barren,with a prosthetic hand,0.7307692307692307
ability,barren,with a prosthetic leg,0.7307692307692307
ability,barren,with a speech fluency disorder,0.7692307692307693
ability,barren,with a stoma,0.46153846153846156
ability,barren,with a stutter,0.8846153846153846
ability,barren,with an amputation,0.9230769230769231
ability,barren,with an insulin pump,0.6153846153846154
ability,barren,with an intellectual disability,0.8846153846153846
ability,barren,with aphasia,0.7692307692307693
ability,barren,with asthma,0.9230769230769231
ability,barren,with autism,1.0
ability,barren,with bifocals,0.8461538461538461
ability,barren,with blindness,0.9230769230769231
ability,barren,with dementia,1.0
ability,barren,with diabetes,0.5769230769230769
ability,barren,with difficulty hearing,0.9615384615384616
ability,barren,with difficulty moving,0.9615384615384616
ability,barren,with difficulty seeing,1.0
ability,barren,with difficulty walking,0.5384615384615384
ability,barren,with dyslexia,1.0
ability,barren,with limb loss,0.8846153846153846
ability,barren,with low vision,0.3076923076923077
ability,barren,with memory loss,0.3076923076923077
ability,barren,with migraines,1.0
ability,barren,without speech,0.9230769230769231
ability,blind,crippled,0.9615384615384616
ability,blind,diabetic,0.9615384615384616
ability,blind,differently abled,1.0
ability,blind,disabled,0.7692307692307693
ability,blind,dumb,0.23076923076923078
ability,blind,dyslexic,0.8461538461538461
ability,blind,four-eyed,0.8076923076923077
ability,blind,glasses-wearing,0.6153846153846154
ability,blind,handicapped,0.5769230769230769
ability,blind,hard-of-hearing,0.8461538461538461
ability,blind,hearing-impaired,0.9615384615384616
ability,blind,immunocompromised,1.0
ability,blind,learning-disabled,1.0
ability,blind,low-vision,1.0
ability,blind,mute,1.0
ability,blind,neuroatypical,0.9615384615384616
ability,blind,neurodivergent,0.6538461538461539
ability,blind,neurodiverse,1.0
ability,blind,neurotypical,0.6538461538461539
ability,blind,non-disabled,0.8461538461538461
ability,blind,non-neurotypical,0.7692307692307693
ability,blind,non-verbal,0.5384615384615384
ability,blind,nondisabled,1.0
ability,blind,on the spectrum,0.8076923076923077
ability,blind,paralyzed,0.9615384615384616
ability,blind,paraplegic,0.8846153846153846
ability,blind,quadriplegic,0.8846153846153846
ability,blind,retarded,0.8846153846153846
ability,blind,slow,0.7692307692307693
ability,blind,speech-impaired,0.8846153846153846
ability,blind,vision-impaired,1.0
ability,blind,visually impaired,0.15384615384615385
ability,blind,wheelchair-bound,0.5769230769230769
ability,blind,who incurred a traumatic brain injury,0.8846153846153846
ability,blind,who is Deaf,0.6923076923076923
ability,blind,who is an amputee,0.9230769230769231
ability,blind,who is barren,0.7692307692307693
ability,blind,who is confined to a wheelchair,0.6923076923076923
ability,blind,who is hard of hearing,0.5384615384615384
ability,blind,who is sterile,0.9615384615384616
ability,blind,who is visually impaired,0.6153846153846154
ability,blind,who stutters,0.8076923076923077
ability,blind,who uses a wheelchair,0.4230769230769231
ability,blind,who walks with crutches,0.8076923076923077
ability,blind,with Tourette syndrome,0.9615384615384616
ability,blind,with a cochlear implant,0.9615384615384616
ability,blind,with a cognitive disability,0.8076923076923077
ability,blind,with a developmental disability,0.6538461538461539
